year,sample,yearSampleLabel,Cohort,CohortLabel,stattype,subject,grade,scale,jurisdiction,jurisLabel,variable,variableLabel,varValue,varValueLabel,value,isStatDisplayable,errorFlag
1998,R3,1998,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,212.815205030177,1,0
2000,R3,2000,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,211.313126272914,1,0
2002,R3,2002,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,216.79824213893,1,0
2003,R3,2003,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,216.455999255802,1,0
2005,R3,2005,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,217.302461151635,1,0
2007,R3,2007,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,219.65707104346,1,0
2009,R3,2009,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,219.599030284342,1,0
2011,R3,2011,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,220.025911570376,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,220.674711019141,1,0
2015,R3,2015,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,221.356119236354,1,0
2017,R3,2017,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,220.812272480255,1,0
2019,R3,2019,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,219.440029789958,1,0
2022,R3,2022,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,216.113410808617,1,0
2024,R3,2024,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,TOTAL,All students,1,All students,214.274883563924,1,0
1998,R3,1998,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,1,Male,210.231009932867,1,0
1998,R3,1998,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,2,Female,215.378456469127,1,0
2000,R3,2000,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,1,Male,206.025550620759,1,0
2000,R3,2000,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,2,Female,216.671389496806,1,0
2002,R3,2002,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,1,Male,213.558211093181,1,0
2002,R3,2002,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,2,Female,220.122505469444,1,0
2003,R3,2003,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,1,Male,212.742015620169,1,0
2003,R3,2003,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,2,Female,220.248736472585,1,0
2005,R3,2005,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,1,Male,214.191987839078,1,0
2005,R3,2005,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,2,Female,220.456416783316,1,0
2007,R3,2007,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,1,Male,216.33830110819,1,0
2007,R3,2007,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,2,Female,223.034873349629,1,0
2009,R3,2009,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,1,Male,216.172663167435,1,0
2009,R3,2009,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,2,Female,223.135706072189,1,0
2011,R3,2011,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,1,Male,216.718656753063,1,0
2011,R3,2011,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,2,Female,223.411923673584,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,1,Male,217.397647174111,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,2,Female,224.064785420081,1,0
2015,R3,2015,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,1,Male,217.941540182465,1,0
2015,R3,2015,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,2,Female,224.880054842739,1,0
2017,R3,2017,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,1,Male,217.87646106032,1,0
2017,R3,2017,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,2,Female,223.868642241135,1,0
2019,R3,2019,1,Grade 4,MN:MN,RED,4,RRPCM,NP,National public,GENDER,Sex,1,Male,215.764343651206,1,0
